id,ayah_no_quran,surah_no,surah_name_ar,surah_name_en,surah_name_roman,ayah_no_surah,text_ar,text_en_primary,text_en_yusufali,text_en_pickthall,text_en_arberry,juz_no,ruko_no,hizb_quarter,manzil_no,place_of_revelation,sajdah_ayah,no_of_words,topic,subtopic
1202,1202,8,الأنفال,The Spoils of War,Al-Anfal,42,إِذْ أَنتُم بِٱلْعُدْوَةِ ٱلدُّنْيَا وَهُم بِٱلْعُدْوَةِ ٱلْقُصْوَىٰ وَٱلرَّكْبُ أَسْفَلَ مِنكُمْ ۚ وَلَوْ تَوَاعَدتُّمْ لَٱخْتَلَفْتُمْ فِى ٱلْمِيعَٰدِ ۙ وَلَٰكِن لِّيَقْضِىَ ٱللَّهُ أَمْرًۭا كَانَ مَفْعُولًۭا لِّيَهْلِكَ مَنْ هَلَكَ عَنۢ بَيِّنَةٍۢ وَيَحْيَىٰ مَنْ حَىَّ عَنۢ بَيِّنَةٍۢ ۗ وَإِنَّ ٱللَّهَ لَسَمِيعٌ عَلِيمٌ,"˹Remember˺ when you were on the near side of the valley, your enemy on the far side, and the caravan was below you. Even if the two armies had made an appointment ˹to meet˺, both would have certainly missed it. Still it transpired so Allah may establish what He had destined—that those who were to perish and those who were to survive might do so after the truth had been made clear to both. Surely Allah is All-Hearing, All-Knowing.","Remember ye were on the hither side of the valley, and they on the farther side, and the caravan on lower ground than ye. Even if ye had made a mutual appointment to meet, ye would certainly have failed in the appointment: But (thus ye met), that God might accomplish a matter already enacted; that those who died might die after a clear Sign (had been given), and those who lived might live after a Clear Sign (had been given). And verily God is He Who heareth and knoweth (all things).","When ye were on the near bank (of the valley) and they were on the yonder bank, and the caravan was below you (on the coast plain). And had ye trysted to meet one another ye surely would have failed to keep the tryst, but (it happened, as it did, without the forethought of either of you) that Allah might conclude a thing that must be done; that he who perished (on that day) might perish by a clear proof (of His Sovereignty) and he who survived might survive by a clear proof (of His Sovereignty). Lo! Allah in truth is Hearer, Knower.","when you were on the nearer bank, and they were on the farther bank, and the cavalcade was below you; and had you made tryst together, you would have surely failed the tryst; but that God might determine a matter that was done, that whosoever perished might perish by a clear sign, and by a clear sign he might live who lived; and surely God is All-hearing, All-knowing.",10,150,73,2,Medinan,FALSE,38,Warfare & Community Defense,
1203,1203,8,الأنفال,The Spoils of War,Al-Anfal,43,إِذْ يُرِيكَهُمُ ٱللَّهُ فِى مَنَامِكَ قَلِيلًۭا ۖ وَلَوْ أَرَىٰكَهُمْ كَثِيرًۭا لَّفَشِلْتُمْ وَلَتَنَٰزَعْتُمْ فِى ٱلْأَمْرِ وَلَٰكِنَّ ٱللَّهَ سَلَّمَ ۗ إِنَّهُۥ عَلِيمٌۢ بِذَاتِ ٱلصُّدُورِ,"˹Remember, O  Prophet,˺ when Allah showed them in your dream as few in number. Had He shown them to you as many, you ˹believers˺ would have certainly faltered and disputed in the matter. But Allah spared you ˹from that˺. Surely He knows best what is ˹hidden˺ in the heart.","Remember in thy dream God showed them to thee as few: if He had shown them to thee as many, ye would surely have been discouraged, and ye would surely have disputed in (your) decision; but God saved (you): for He knoweth well the (secrets) of (all) hearts.","When Allah showed them unto thee (O Muhammad) in thy dream as few in number, and if He had shown them to thee as many, ye (Muslims) would have faltered and would have quarrelled over the affair. But Allah saved (you). Lo! He knoweth what is in the breasts (of men).","When God showed thee them in thy dream as few; and had He shown them as many you would have lost heart, and quarrelled about the matter; but God saved; He knows the thoughts in the breasts.",10,150,73,2,Medinan,FALSE,22,Warfare & Community Defense,
1204,1204,8,الأنفال,The Spoils of War,Al-Anfal,44,وَإِذْ يُرِيكُمُوهُمْ إِذِ ٱلْتَقَيْتُمْ فِىٓ أَعْيُنِكُمْ قَلِيلًۭا وَيُقَلِّلُكُمْ فِىٓ أَعْيُنِهِمْ لِيَقْضِىَ ٱللَّهُ أَمْرًۭا كَانَ مَفْعُولًۭا ۗ وَإِلَى ٱللَّهِ تُرْجَعُ ٱلْأُمُورُ,"Then when your armies met, Allah made them appear as few in your eyes, and made you appear as few in theirs, so Allah may establish what He had destined. And to Allah ˹all˺ matters will be returned ˹for judgment˺.","And remember when ye met, He showed them to you as few in your eyes, and He made you appear as contemptible in their eyes: that God might accomplish a matter already enacted. For to God do all questions go back (for decision).","And when He made you (Muslims), when ye met (them), see them with your eyes as few, and lessened you in their eyes, (it was) that Allah might conclude a thing that must be done. Unto Allah all things are brought back.","When God showed you them in your eyes as few, when you encountered, and made you few in their eyes, that God might determine a matter that was done; and unto God all matters are returned.",10,150,73,2,Medinan,FALSE,20,Warfare & Community Defense,
1205,1205,8,الأنفال,The Spoils of War,Al-Anfal,45,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓا۟ إِذَا لَقِيتُمْ فِئَةًۭ فَٱثْبُتُوا۟ وَٱذْكُرُوا۟ ٱللَّهَ كَثِيرًۭا لَّعَلَّكُمْ تُفْلِحُونَ,"O believers! When you face an enemy, stand firm and remember Allah often so you may triumph.","O ye who believe! When ye meet a force, be firm, and call God in remembrance much (and often); that ye may prosper:","O ye who believe! When ye meet an army, hold firm and think of Allah much, that ye may be successful.","O believers, whensoever you encounter a host, then stand firm, and remember God frequently; haply so you will prosper.",10,151,73,2,Medinan,FALSE,12,Warfare & Community Defense,
1206,1206,8,الأنفال,The Spoils of War,Al-Anfal,46,وَأَطِيعُوا۟ ٱللَّهَ وَرَسُولَهُۥ وَلَا تَنَٰزَعُوا۟ فَتَفْشَلُوا۟ وَتَذْهَبَ رِيحُكُمْ ۖ وَٱصْبِرُوٓا۟ ۚ إِنَّ ٱللَّهَ مَعَ ٱلصَّٰبِرِينَ,"Obey Allah and His Messenger and do not dispute with one another, or you would be discouraged and weakened. Persevere! Surely Allah is with those who persevere.","And obey God and His Apostle; and fall into no disputes, lest ye lose heart and your power depart; and be patient and persevering: For God is with those who patiently persevere:","And obey Allah and His messenger, and dispute not one with another lest ye falter and your strength depart from you; but be steadfast! Lo! Allah is with the steadfast.","And obey God, and His Messenger, and do not quarrel together, and so lose heart, and your power depart; and be patient; surely God is with the patient.",10,151,73,2,Medinan,FALSE,15,Warfare & Community Defense,Prophethood
1207,1207,8,الأنفال,The Spoils of War,Al-Anfal,47,وَلَا تَكُونُوا۟ كَٱلَّذِينَ خَرَجُوا۟ مِن دِيَٰرِهِم بَطَرًۭا وَرِئَآءَ ٱلنَّاسِ وَيَصُدُّونَ عَن سَبِيلِ ٱللَّهِ ۚ وَٱللَّهُ بِمَا يَعْمَلُونَ مُحِيطٌۭ,"Do not be like those ˹pagans˺ who left their homes arrogantly, only to be seen by people and to hinder others from Allah’s Path. And Allah is Fully Aware of what they do.","And be not like those who started from their homes insolently and to be seen of men, and to hinder (men) from the path of God: For God compasseth round about all that they do.","Be not as those who came forth from their dwellings boastfully and to be seen of men, and debar (men) from the way of Allah, while Allah is surrounding all they do.","Be not as those who went forth from their habitations swaggering boastfully to show off to men, and barring from God’s way; and God encompasses the things they do.",10,151,73,2,Medinan,FALSE,18,Warfare & Community Defense,
1208,1208,8,الأنفال,The Spoils of War,Al-Anfal,48,وَإِذْ زَيَّنَ لَهُمُ ٱلشَّيْطَٰنُ أَعْمَٰلَهُمْ وَقَالَ لَا غَالِبَ لَكُمُ ٱلْيَوْمَ مِنَ ٱلنَّاسِ وَإِنِّى جَارٌۭ لَّكُمْ ۖ فَلَمَّا تَرَآءَتِ ٱلْفِئَتَانِ نَكَصَ عَلَىٰ عَقِبَيْهِ وَقَالَ إِنِّى بَرِىٓءٌۭ مِّنكُمْ إِنِّىٓ أَرَىٰ مَا لَا تَرَوْنَ إِنِّىٓ أَخَافُ ٱللَّهَ ۚ وَٱللَّهُ شَدِيدُ ٱلْعِقَابِ,"And ˹remember˺ when Satan made their ˹evil˺ deeds appealing to them, and said, “No one can overcome you today. I am surely by your side.” But when the two forces faced off, he cowered and said, “I have absolutely nothing to do with you. I certainly see what you do not see. I truly fear Allah, for Allah is severe in punishment.”","Remember Satan made their (sinful) acts seem alluring to them, and said: ""No one among men can overcome you this day, while I am near to you"": But when the two forces came in sight of each other, he turned on his heels, and said: ""Lo! I am clear of you; lo! I see what ye see not; Lo! I fear God: for God is strict in punishment.""","And when Satan made their deeds seem fair to them and said: No-one of mankind can conquer you this day, for I am your protector. But when the armies came in sight of one another, he took flight, saying: Lo! I am guiltless of you. Lo! I see that which ye see not. Lo! I fear Allah. And Allah is severe in punishment.","And when Satan decked out their deeds fair to them, and said, ’Today no man shall overcome you, for I shall be your neighbour.’ But when the two hosts sighted each other, he withdrew upon his heels, saying, ’I am quit of you; for I see what you do not see. I fear God; and God is terrible in retribution.’",10,151,73,2,Medinan,FALSE,38,Warfare & Community Defense,
1209,1209,8,الأنفال,The Spoils of War,Al-Anfal,49,إِذْ يَقُولُ ٱلْمُنَٰفِقُونَ وَٱلَّذِينَ فِى قُلُوبِهِم مَّرَضٌ غَرَّ هَٰٓؤُلَآءِ دِينُهُمْ ۗ وَمَن يَتَوَكَّلْ عَلَى ٱللَّهِ فَإِنَّ ٱللَّهَ عَزِيزٌ حَكِيمٌۭ,"˹Remember˺ when the hypocrites and those with sickness in their hearts said, “These ˹believers˺ are deluded by their faith.” But whoever puts their trust in Allah, surely Allah is Almighty, All-Wise.","Lo! the hypocrites say, and those in whose hearts is a disease: ""These people,- their religion has misled them."" But if any trust in God, behold! God is Exalted in might, Wise.","When the hypocrites and those in whose hearts is a disease said: Their religion hath deluded these. Whoso putteth his trust in Allah (will find that) lo! Allah is Mighty, Wise.","When the hypocrites, and those in whose hearts was sickness, said, ’Their religion has deluded them’; but whosoever puts his trust in God, surely God is All-mighty, All-wise.",10,152,73,2,Medinan,FALSE,19,Warfare & Community Defense,
1210,1210,8,الأنفال,The Spoils of War,Al-Anfal,50,وَلَوْ تَرَىٰٓ إِذْ يَتَوَفَّى ٱلَّذِينَ كَفَرُوا۟ ۙ ٱلْمَلَٰٓئِكَةُ يَضْرِبُونَ وُجُوهَهُمْ وَأَدْبَٰرَهُمْ وَذُوقُوا۟ عَذَابَ ٱلْحَرِيقِ,"If only you could see when the angels take the souls of the disbelievers, beating their faces and backs, ˹saying,˺ “Taste the torment of burning!","If thou couldst see, when the angels take the souls of the Unbelievers (at death), (How) they smite their faces and their backs, (saying): ""Taste the penalty of the blazing Fire-","If thou couldst see how the angels receive those who disbelieve, smiting faces and their backs and (saying): Taste the punishment of burning!","If thou couldst only see when the angels take the unbelievers, beating their faces and their backs: ’Taste the chastisement of the burning --",10,152,73,2,Medinan,FALSE,14,Warfare & Community Defense,
1211,1211,8,الأنفال,The Spoils of War,Al-Anfal,51,ذَٰلِكَ بِمَا قَدَّمَتْ أَيْدِيكُمْ وَأَنَّ ٱللَّهَ لَيْسَ بِظَلَّٰمٍۢ لِّلْعَبِيدِ,This is ˹the reward˺ for what your hands have done. And Allah is never unjust to ˹His˺ creation.”,"""Because of (the deeds) which your (own) hands sent forth; for God is never unjust to His servants:","This is for that which your own hands have sent before (to the Judgment), and (know) that Allah is not a tyrant to His slaves.","that, for what your hands have forwarded, and for that God is never unjust unto His servants.’",10,152,73,2,Medinan,FALSE,9,Warfare & Community Defense,
1212,1212,8,الأنفال,The Spoils of War,Al-Anfal,52,كَدَأْبِ ءَالِ فِرْعَوْنَ ۙ وَٱلَّذِينَ مِن قَبْلِهِمْ ۚ كَفَرُوا۟ بِـَٔايَٰتِ ٱللَّهِ فَأَخَذَهُمُ ٱللَّهُ بِذُنُوبِهِمْ ۗ إِنَّ ٱللَّهَ قَوِىٌّۭ شَدِيدُ ٱلْعِقَابِ,"Their fate is that of the people of Pharaoh and those before them—they all disbelieved in Allah’s signs, so Allah seized them for their sins. Indeed, Allah is All-Powerful, severe in punishment.","""(Deeds) after the manner of the people of Pharaoh and of those before them: They rejected the Signs of God, and God punished them for their crimes: for God is Strong, and Strict in punishment:","(Their way is) as the way of Pharaoh’s folk and those before them; they disbelieved the revelations of Allah, and Allah took them in their sins. Lo! Allah is Strong, severe in punishment.","Like Pharaoh’s folk, and the people before him, who disbelieved in God’s signs; God seized them because of their sins; God is strong, terrible in retribution.",10,152,73,2,Medinan,FALSE,20,Warfare & Community Defense,
1213,1213,8,الأنفال,The Spoils of War,Al-Anfal,53,ذَٰلِكَ بِأَنَّ ٱللَّهَ لَمْ يَكُ مُغَيِّرًۭا نِّعْمَةً أَنْعَمَهَا عَلَىٰ قَوْمٍ حَتَّىٰ يُغَيِّرُوا۟ مَا بِأَنفُسِهِمْ ۙ وَأَنَّ ٱللَّهَ سَمِيعٌ عَلِيمٌۭ,"This is because Allah would never discontinue His favour to a people until they discontinue their faith. Surely Allah is All-Hearing, All-Knowing.","""Because God will never change the grace which He hath bestowed on a people until they change what is in their (own) souls: and verily God is He Who heareth and knoweth (all things).""","That is because Allah never changeth the grace He hath bestowed on any people until they first change that which is in their hearts, and (that is) because Allah is Hearer, Knower.","That is because God would never change His favour that He conferred on a people until they changed what was within themselves; and that God is All-hearing, All-knowing.",10,152,73,2,Medinan,FALSE,19,Warfare & Community Defense,
1214,1214,8,الأنفال,The Spoils of War,Al-Anfal,54,كَدَأْبِ ءَالِ فِرْعَوْنَ ۙ وَٱلَّذِينَ مِن قَبْلِهِمْ ۚ كَذَّبُوا۟ بِـَٔايَٰتِ رَبِّهِمْ فَأَهْلَكْنَٰهُم بِذُنُوبِهِمْ وَأَغْرَقْنَآ ءَالَ فِرْعَوْنَ ۚ وَكُلٌّۭ كَانُوا۟ ظَٰلِمِينَ,"That was the case with Pharaoh’s people and those before them—they all rejected the signs of their Lord, so We destroyed them for their sins and drowned Pharaoh’s people. They were all wrongdoers.","(Deeds) after the manner of the people of Pharaoh and those before them"": They treated as false the Signs of their Lord: so We destroyed them for their crimes, and We drowned the people of Pharaoh: for they were all oppressors and wrong- doers.","(Their way is) as the way of Pharaoh’s folk and those before them; they denied the revelations of their Lord, so We destroyed them in their sins. And We drowned the folk of Pharaoh. All were evil-doers.","Like Pharaoh’s folk, and the people before him, who cried lies to the signs of their Lord, so We destroyed them because of their sins, and We drowned the folk of Pharaoh; and all were evildoers.",10,152,73,2,Medinan,FALSE,20,Warfare & Community Defense,
1215,1215,8,الأنفال,The Spoils of War,Al-Anfal,55,إِنَّ شَرَّ ٱلدَّوَآبِّ عِندَ ٱللَّهِ ٱلَّذِينَ كَفَرُوا۟ فَهُمْ لَا يُؤْمِنُونَ,"Indeed, the worst of all beings in the sight of Allah are those who persist in disbelief, never to have faith—",For the worst of beasts in the sight of God are those who reject Him: They will not believe.,Lo! the worst of beasts in Allah’s sight are the ungrateful who will not believe.,"Surely the worst of beasts in God’s sight are the unbelievers, who will not believe,",10,152,73,2,Medinan,FALSE,10,Warfare & Community Defense,
1216,1216,8,الأنفال,The Spoils of War,Al-Anfal,56,ٱلَّذِينَ عَٰهَدتَّ مِنْهُمْ ثُمَّ يَنقُضُونَ عَهْدَهُمْ فِى كُلِّ مَرَّةٍۢ وَهُمْ لَا يَتَّقُونَ,"˹namely˺ those with whom you ˹O Prophet˺ have entered into treaties, but they violate them every time, not fearing the consequences.","They are those with whom thou didst make a covenant, but they break their covenant every time, and they have not the fear (of God).","Those of them with whom thou madest a treaty, and then at every opportunity they break their treaty, and they keep not duty (to Allah).","those of them with whom thou hast made compact then they break their compact every time, not being godfearing.",10,152,73,2,Medinan,FALSE,12,Warfare & Community Defense,
1217,1217,8,الأنفال,The Spoils of War,Al-Anfal,57,فَإِمَّا تَثْقَفَنَّهُمْ فِى ٱلْحَرْبِ فَشَرِّدْ بِهِم مَّنْ خَلْفَهُمْ لَعَلَّهُمْ يَذَّكَّرُونَ,"If you ever encounter them in battle, make a fearsome example of them, so perhaps those who would follow them may be deterred.","If ye gain the mastery over them in war, disperse, with them, those who follow them, that they may remember.","If thou comest on them in the war, deal with them so as to strike fear in those who are behind them, that haply they may remember.","So, if thou comest upon them anywhere in the war, deal with them in such wise as to scatter the ones behind them; haply they will remember.",10,152,73,2,Medinan,FALSE,10,Warfare & Community Defense,
1218,1218,8,الأنفال,The Spoils of War,Al-Anfal,58,وَإِمَّا تَخَافَنَّ مِن قَوْمٍ خِيَانَةًۭ فَٱنۢبِذْ إِلَيْهِمْ عَلَىٰ سَوَآءٍ ۚ إِنَّ ٱللَّهَ لَا يُحِبُّ ٱلْخَآئِنِينَ,"And if you ˹O Prophet˺ see signs of betrayal by a people, respond by openly terminating your treaty with them. Surely Allah does not like those who betray.","If thou fearest treachery from any group, throw back (their covenant) to them, (so as to be) on equal terms: for God loveth not the treacherous.","And if thou fearest treachery from any folk, then throw back to them (their treaty) fairly. Lo! Allah loveth not the treacherous.","And if thou fearest treachery any way at the hands of a people, dissolve it with them equally; surely God loves not the treacherous.",10,152,73,2,Medinan,FALSE,15,Warfare & Community Defense,
1219,1219,8,الأنفال,The Spoils of War,Al-Anfal,59,وَلَا يَحْسَبَنَّ ٱلَّذِينَ كَفَرُوا۟ سَبَقُوٓا۟ ۚ إِنَّهُمْ لَا يُعْجِزُونَ,Do not let those disbelievers think they are not within reach. They will have no escape.,Let not the unbelievers think that they can get the better (of the godly): they will never frustrate (them).,And let not those who disbelieve suppose that they can outstrip (Allah’s Purpose). Lo! they cannot escape.,And thou art not to suppose that they who disbelieve have outstripped Me; they cannot frustrate My will.,10,153,73,2,Medinan,FALSE,9,Warfare & Community Defense,
1220,1220,8,الأنفال,The Spoils of War,Al-Anfal,60,وَأَعِدُّوا۟ لَهُم مَّا ٱسْتَطَعْتُم مِّن قُوَّةٍۢ وَمِن رِّبَاطِ ٱلْخَيْلِ تُرْهِبُونَ بِهِۦ عَدُوَّ ٱللَّهِ وَعَدُوَّكُمْ وَءَاخَرِينَ مِن دُونِهِمْ لَا تَعْلَمُونَهُمُ ٱللَّهُ يَعْلَمُهُمْ ۚ وَمَا تُنفِقُوا۟ مِن شَىْءٍۢ فِى سَبِيلِ ٱللَّهِ يُوَفَّ إِلَيْكُمْ وَأَنتُمْ لَا تُظْلَمُونَ,Prepare against them what you ˹believers˺ can of ˹military˺ power and cavalry to deter Allah’s enemies and your enemies as well as other enemies unknown to you but known to Allah. Whatever you spend in the cause of Allah will be paid to you in full and you will not be wronged.,"Against them make ready your strength to the utmost of your power, including steeds of war, to strike terror into (the hearts of) the enemies, of God and your enemies, and others besides, whom ye may not know, but whom God doth know. Whatever ye shall spend in the cause of God, shall be repaid unto you, and ye shall not be treated unjustly.","Make ready for them all thou canst of (armed) force and of horses tethered, that thereby ye may dismay the enemy of Allah and your enemy, and others beside them whom ye know not. Allah knoweth them. Whatsoever ye spend in the way of Allah it will be repaid to you in full, and ye will not be wronged.","Make ready for them whatever force and strings of horses you can, to terrify thereby the enemy of God and your enemy, and others besides them that you know not; God knows them. And whatsoever you expend in the way of God shall be repaid you in full; you will not be wronged.",10,153,73,2,Medinan,FALSE,34,Warfare & Community Defense,
1221,1221,8,الأنفال,The Spoils of War,Al-Anfal,61,۞ وَإِن جَنَحُوا۟ لِلسَّلْمِ فَٱجْنَحْ لَهَا وَتَوَكَّلْ عَلَى ٱللَّهِ ۚ إِنَّهُۥ هُوَ ٱلسَّمِيعُ ٱلْعَلِيمُ,"If the enemy is inclined towards peace, make peace with them. And put your trust in Allah. Indeed, He ˹alone˺ is the All-Hearing, All-Knowing.","But if the enemy incline towards peace, do thou (also) incline towards peace, and trust in God: for He is One that heareth and knoweth (all things).","And if they incline to peace, incline thou also to it, and trust in Allah. Lo! He, even He, is the Hearer, the Knower.","And if they incline to peace, do thou incline to it; and put thy trust in God; He is the All-hearing, the All-knowing.",10,153,74,2,Medinan,FALSE,14,Warfare & Community Defense,
1222,1222,8,الأنفال,The Spoils of War,Al-Anfal,62,وَإِن يُرِيدُوٓا۟ أَن يَخْدَعُوكَ فَإِنَّ حَسْبَكَ ٱللَّهُ ۚ هُوَ ٱلَّذِىٓ أَيَّدَكَ بِنَصْرِهِۦ وَبِٱلْمُؤْمِنِينَ,"But if their intention is only to deceive you, then Allah is certainly sufficient for you. He is the One Who has supported you with His help and with the believers.","Should they intend to deceive thee,- verily God sufficeth thee: He it is That hath strengthened thee with His aid and with (the company of) the Believers;","And if they would deceive thee, then lo! Allah is Sufficient for thee. He it is Who supporteth thee with His help and with the believers,","And if they desire to trick thee, God is sufficient for thee; He has confirmed thee with His help, and with the believers,",10,153,74,2,Medinan,FALSE,13,Warfare & Community Defense,
1223,1223,8,الأنفال,The Spoils of War,Al-Anfal,63,وَأَلَّفَ بَيْنَ قُلُوبِهِمْ ۚ لَوْ أَنفَقْتَ مَا فِى ٱلْأَرْضِ جَمِيعًۭا مَّآ أَلَّفْتَ بَيْنَ قُلُوبِهِمْ وَلَٰكِنَّ ٱللَّهَ أَلَّفَ بَيْنَهُمْ ۚ إِنَّهُۥ عَزِيزٌ حَكِيمٌۭ,"He brought their hearts together. Had you spent all the riches in the earth, you could not have united their hearts. But Allah has united them. Indeed, He is Almighty, All-Wise.","And (moreover) He hath put affection between their hearts: not if thou hadst spent all that is in the earth, couldst thou have produced that affection, but God hath done it: for He is Exalted in might, Wise.","And (as for the believers) hath attuned their hearts. If thou hadst spent all that is in the earth thou couldst not have attuned their hearts, but Allah hath attuned them. Lo! He is Mighty, Wise.","and brought their hearts together. Hadst thou expended all that is in the earth, thou couldst not have brought their hearts together; but God brought their hearts together; surely He is All-mighty, All-wise.",10,153,74,2,Medinan,FALSE,22,Warfare & Community Defense,Creation & Natural Signs
1224,1224,8,الأنفال,The Spoils of War,Al-Anfal,64,يَٰٓأَيُّهَا ٱلنَّبِىُّ حَسْبُكَ ٱللَّهُ وَمَنِ ٱتَّبَعَكَ مِنَ ٱلْمُؤْمِنِينَ,O  Prophet! Allah is sufficient for you and for the believers who follow you.,"O Apostle! sufficient unto thee is God,- (unto thee) and unto those who follow thee among the Believers.",O Prophet! Allah is Sufficient for thee and those who follow thee of the believers.,"O Prophet, God suffices thee, and the believers who follow thee.",10,153,74,2,Medinan,FALSE,8,Warfare & Community Defense,
1225,1225,8,الأنفال,The Spoils of War,Al-Anfal,65,يَٰٓأَيُّهَا ٱلنَّبِىُّ حَرِّضِ ٱلْمُؤْمِنِينَ عَلَى ٱلْقِتَالِ ۚ إِن يَكُن مِّنكُمْ عِشْرُونَ صَٰبِرُونَ يَغْلِبُوا۟ مِا۟ئَتَيْنِ ۚ وَإِن يَكُن مِّنكُم مِّا۟ئَةٌۭ يَغْلِبُوٓا۟ أَلْفًۭا مِّنَ ٱلَّذِينَ كَفَرُوا۟ بِأَنَّهُمْ قَوْمٌۭ لَّا يَفْقَهُونَ,"O Prophet! Motivate the believers to fight. If there are twenty steadfast among you, they will overcome two hundred. And if there are one hundred of you, they will overcome one thousand of the disbelievers, for they are a people who do not comprehend.","O Apostle! rouse the Believers to the fight. If there are twenty amongst you, patient and persevering, they will vanquish two hundred: if a hundred, they will vanquish a thousand of the Unbelievers: for these are a people without understanding.","O Prophet! Exhort the believers to fight. If there be of you twenty steadfast they shall overcome two hundred, and if there be of you a hundred (steadfast) they shall overcome a thousand of those who disbelieve, because they (the disbelievers) are a folk without intelligence.","O Prophet, urge on the believers to fight. If there be twenty of you, patient men, they will overcome two hundred; if there be a hundred of you, they will overcome a thousand unbelievers, for they are a people who understand not.",10,154,74,2,Medinan,FALSE,28,Warfare & Community Defense,Jihad & Warfare
1226,1226,8,الأنفال,The Spoils of War,Al-Anfal,66,ٱلْـَٰٔنَ خَفَّفَ ٱللَّهُ عَنكُمْ وَعَلِمَ أَنَّ فِيكُمْ ضَعْفًۭا ۚ فَإِن يَكُن مِّنكُم مِّا۟ئَةٌۭ صَابِرَةٌۭ يَغْلِبُوا۟ مِا۟ئَتَيْنِ ۚ وَإِن يَكُن مِّنكُمْ أَلْفٌۭ يَغْلِبُوٓا۟ أَلْفَيْنِ بِإِذْنِ ٱللَّهِ ۗ وَٱللَّهُ مَعَ ٱلصَّٰبِرِينَ,"Now Allah has lightened your burden, for He knows that there is weakness in you. So if there are a hundred steadfast among you, they will overcome two hundred. And if there be one thousand, they will overcome two thousand, by Allah’s Will. And Allah is with the steadfast.","For the present, God hath lightened your (task), for He knoweth that there is a weak spot in you: But (even so), if there are a hundred of you, patient and persevering, they will vanquish two hundred, and if a thousand, they will vanquish two thousand, with the leave of God: for God is with those who patiently persevere.","Now hath Allah lightened your burden, for He knoweth that there is weakness in you. So if there be of you a steadfast hundred they shall overcome two hundred, and if there be of you a thousand (steadfast) they shall overcome two thousand by permission of Allah. Allah is with the steadfast.","Now God has lightened it for you, knowing that there is weakness in you. If there be a hundred of you, patient men, they will overcome two hundred; if there be of you a thousand, they will overcome two thousand by the leave of God; God is with the patient.",10,154,74,2,Medinan,FALSE,29,Warfare & Community Defense,Patience & Perseverance
1227,1227,8,الأنفال,The Spoils of War,Al-Anfal,67,مَا كَانَ لِنَبِىٍّ أَن يَكُونَ لَهُۥٓ أَسْرَىٰ حَتَّىٰ يُثْخِنَ فِى ٱلْأَرْضِ ۚ تُرِيدُونَ عَرَضَ ٱلدُّنْيَا وَٱللَّهُ يُرِيدُ ٱلْءَاخِرَةَ ۗ وَٱللَّهُ عَزِيزٌ حَكِيمٌۭ,"It is not fit for a prophet that he should take captives until he has thoroughly subdued the land. You ˹believers˺ settled with the fleeting gains of this world, while Allah’s aim ˹for you˺ is the Hereafter. Allah is Almighty, All-Wise.","It is not fitting for an apostle that he should have prisoners of war until he hath thoroughly subdued the land. Ye look for the temporal goods of this world; but God looketh to the Hereafter: And God is Exalted in might, Wise.","It is not for any prophet to have captives until he hath made slaughter in the land. Ye desire the lure of this world and Allah desireth (for you) the Hereafter, and Allah is Mighty, Wise.","It is not for any Prophet to have prisoners until he make wide slaughter in the land. You desire the chance goods of the present world, and God desires the world to come; and God is All-mighty, All-wise.",10,154,74,2,Medinan,FALSE,22,Warfare & Community Defense,Creation & Natural Signs
1228,1228,8,الأنفال,The Spoils of War,Al-Anfal,68,لَّوْلَا كِتَٰبٌۭ مِّنَ ٱللَّهِ سَبَقَ لَمَسَّكُمْ فِيمَآ أَخَذْتُمْ عَذَابٌ عَظِيمٌۭ,"Had it not been for a prior decree from Allah, you would have certainly been disciplined with a tremendous punishment for whatever ˹ransom˺ you have taken.","Had it not been for a previous ordainment from God, a severe penalty would have reached you for the (ransom) that ye took.","Had it not been for an ordinance of Allah which had gone before, an awful doom had come upon you on account of what ye took.","Had it not been for a prior prescription from God, there had afflicted you, for what you took, a mighty chastisement.",10,154,74,2,Medinan,FALSE,10,Warfare & Community Defense,
1229,1229,8,الأنفال,The Spoils of War,Al-Anfal,69,فَكُلُوا۟ مِمَّا غَنِمْتُمْ حَلَٰلًۭا طَيِّبًۭا ۚ وَٱتَّقُوا۟ ٱللَّهَ ۚ إِنَّ ٱللَّهَ غَفُورٌۭ رَّحِيمٌۭ,"Now enjoy what you have taken, for it is lawful and good. And be mindful of Allah. Surely Allah is All-Forgiving, Most Merciful.","But (now) enjoy what ye took in war, lawful and good: but fear God: for God is Oft-forgiving, Most Merciful.","Now enjoy what ye have won, as lawful and good, and keep your duty to Allah. Lo! Allah is Forgiving, Merciful.","Eat of what you have taken as booty, such as is lawful and good; and fear you God; surely God is All-forgiving, All-compassionate.",10,154,74,2,Medinan,FALSE,13,Warfare & Community Defense,
